xxx_315096764	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		6	芬妮病号服			……分析员……	0
2		6	芬妮病号服			看着我……分析员……我要你看着我……	0
3		0				昏暗，燥热……耳畔的气息灼热，但无论那呼唤声有多么真切，我的视线却始终模糊。	0
4		0				身体疲惫到无以复加，连抬起一根手指都做不到，但皮肤的触感却偏偏因之变得敏锐……连正在我身体上游走的手掌到底有多么柔嫩都可以捕捉。	0
5		0				如同从衣角的缝隙里钻进去的一条蛇……有什么，不，有谁……正在尝试探索我。	0
6		0				小腹……肋骨……胸口，直至咽喉，然后无声无息地贴满了我的脸。	0
7		6	芬妮病号服			看着我好不好……只看着我一个人，好不好……	0
8		0				如怨如慕，细语痴缠，但那份腔调里还是带着她独有的……娇蛮？	0
9		0				她骑乘在我身上，匍匐在我胸口，任由发丝在我的脖子上散开。发梢的摩挲混着这些语气中的幽怨，把最砭骨的麻痒一点一点地送进了我的身体里。	0
10		0	分析员			……芬妮……吗……	0
11		6	芬妮病号服			亏你还叫得出我的名字……我以为你早把我忘了！我以为你……	0
12		0	分析员			把你……忘了？为什么……	0
13		6	芬妮病号服			你不理我，不陪着我，也不再带我做任何事……尤其是任务！	0
14		0	分析员			我——	0
15		0				下意识的辩驳被突如其来的扼喉所打断——她猛然间贴了过来，用鼻尖顶着我的上唇，把更温热的呼吸毫无保留地传递给了我。	0
16		6	芬妮病号服			本小姐现在逮住机会了！我……霸占了分析员了，所以你不许反驳，你不许再用那张骗过别人的嘴来骗我。	0
17		6	芬妮病号服			你如果不是……想把我忘了！那你为什么一直不把我带在身边？	0
18		6	芬妮病号服			你如果不是心里都装着别人，那为什么自打耶洛沙……不，要更早！第五研究所的事情之后，断点行动那次你就没叫我陪你！	0
19		0				她忽然双手用力，撑着我的身体，坐直了腰。手指在我的胸口胡乱摸索着，直到她找到了能为她作证的证据也还不作罢，而是狠狠抓了我一把。	0
20		0				锋利的指甲破开皮肉，带来让人热血上涌的疼痛，也放大了本就难耐的欲念。	0
21		6	芬妮病号服			这颗子弹……改变了一切……	0
22		6	芬妮病号服			从那之后，我没有一天不担惊受怕！我……我总觉得会有人把你……从我身边夺走……	0
23		0	分析员			不会的……我们是一家人，不会有什么夺走不夺走的……	0
24		6	芬妮病号服			一家人，哼……那分析员这个家未免也太大了点，装得下太多人了吧！	0
25		0				她用着彻头彻尾的哭腔，一边埋怨着，一边恶狠狠地用双腿夹紧了我的腰。内脏和肋骨猛然间受到挤压，我不由得一阵头晕目眩，仰躺着咳嗽出声。	0
26		0	分析员			你……咳咳……你又胡闹上了。世界树……海姆达尔的所有人，大家不都是一家人吗……	0
27		0	分析员			不管这个家是大是小，不管这个家里有多少人，这都是我们……在眼下这个世界上，唯一的归宿，不是吗……	0
28		6	芬妮病号服			那你告诉我！这个家里，你最在乎的人是谁？	0
29		6	芬妮病号服			不只是以前和现在，以后，以后的以后！在这个家里你只需在乎一个人，那个人是谁！	0
30		0	分析员			……	0
31		0				我自己都分不清刚刚我到底是在呢喃着回答，还是无力地吐了口气。但下一秒，我只觉得身上一轻，脸颊被发丝抽打，香风扑鼻，然后身边就传来了床榻的颤动。	0
32		0				她……像是在赌气一般，翻身躺到了我的旁边。	0
33		0	分析员			……芬妮，我们这是……	0
34		6	里芙病号服			……我不明白。	0
35		0	分析员			……！	0
36		6	里芙病号服			我……学她……学得有那么像吗……！	0
37		6	里芙病号服			逼真到你一直……都没怀疑过？还是说你早知道了，但你却在享受这种事……	0
38		6	里芙病号服			……她果然平日里……都是像刚才那样……跟你在一起的吗……	0
39		0				我很确定我没有在睡梦里。	0
40		0				我不会做这种梦。我不需要做。但硬要说眼前发生的一切是现实？上一秒还骑在我身上与我耳鬓厮磨的人，只不过翻了个身就变成了里芙的模样？	0
41		0				开什么玩笑……	0
42		0				<orange>罢了。既然不是梦境，也不是现实，那唯一剩下的那种可能……就很无趣了。</>	0
43		6	里芙病号服			……你不说话，你默认了吗。	0
44		0	分析员			嗯……	0
45		0				我把舌头咬在牙齿间，借着短暂的疼痛来让自己恢复一些力气，好让我的脑袋能摇起来。	0
46		0	分析员			我在等你先开口。	0
47		6	里芙病号服			等我？你希望我说什么？	0
48		0	分析员			说你该说的。	0
49		6	里芙病号服			比如呢……	0
50		0	分析员			比如这么无聊的闹剧，你看到什么时候才算够？	0
51		0				……	0
52		6	罗赞			噗……哈哈，哈哈哈哈哈哈哈哈……哎呦，你这人可真是……啊，不行不行，哈哈哈哈——	0
53		0				片刻的沉默之后，从我脚边床尾的方向猛然传来了爽朗且刺耳的笑声。	0
54		0				单论声调的话，那其实很动听……真正刺耳的是那笑声里饱含的戏谑，侮辱，胜券在握。	0
55		6	罗赞			……扶他起来吧，让他坐直一点。	0
56		0				我身边的“它”在得到命令之后，立刻收敛起了所有的矫揉造作。动作拘谨，刻板，小心翼翼，像是生怕违逆了她的命令一样。	0
57		0				我的视线终于变得清晰了一些，然后就眼睁睁看着自己被“它”搀扶着坐起来，背靠在床头柔软的靠枕上，得以看向床尾的她。	0
58		0				罗赞·赫瓦雷纳……她背对着我，赤身裸体地站在昏黄的灯光里，毫不避讳地用她的身体向我展示着她的身份。	0
59		0				一个女人，一个……战士。	0
60		0				只不过瞥了一眼就能看得一清二楚——子弹和刀刃在她的脊背上留下刻痕，连同着她锻炼得当的肌肉，一起构成了一幅……堪称精美的画卷。	0
61		0				适才在我身旁的那个“人形生物”起身下床，从衣架上取下一件风衣，迈着小碎步凑到她跟前，局促地服侍着她。	0
62		0				而她却很随意地把风衣往身上一裹，大大方方地转过身来，笑吟吟地盯着我。	0
63		6	罗赞			香艳的……人家不要，带着醋味儿的人家又不喜欢……	0
64		6	罗赞			你呀，呵，搞不定人家，骗不到他。	0
65		6	真神室女			司令！对不起！我……	0
66		0				它忙不迭地跪倒在罗赞的脚边，用肢体表露着它的惶恐。而罗赞却只是摇摇头，抬起一只手按住了它的头顶。	0
67		6	罗赞			也是，家花都太香了，看不上野花，倒是不怪你。	0
68		0				她一脸平淡地这么说着，但手上却没停下来——分开的五指直挺挺地嵌进了“它”的头颅里，直到连手腕都齐根没入。	0
69		6	真神室女			呃啊——啊啊啊啊啊啊啊啊……！	0
70		0				人形的怪物发出凄厉的惨叫，但罗赞的动作却更进一步……她像是徒手在那怪物的脑袋里打捞着什么一般，片刻之后，她找到了她要的东西。	0
71		0				晶莹剔透，团团簇拥的丝状物体——那一团精密的东西在罗赞平摊的掌心里熠熠发光，而那怪物的身体早就委顿在地，以肉眼可见的速度崩解。	0
72		0				我盯着那怪物的身躯，它消散的方式与死亡的异化人有很多相似的地方，而这给了我一点启发……或许我该先和这位司令拌拌嘴，为自己多拖一点时间出来。	0
73		0	分析员			软磨不成……就来这种硬的下马威，很抱歉我不吃这一套，你没必要这么兜圈子。	0
74		6	罗赞			哪有那么复杂……	0
75		0				她看着手里的那团东西，慢慢起身，向着我走过来。	0
76		6	罗赞			只是因为没用的东西……都不配活着罢了。	0
77		0	分析员			照你这么说，我岂不是也不配活着了。你知道不管你想干什么，我都不可能加入你，不可能跟你合作的。	0
78		0	分析员			这样的人在你眼里，难道不也是没用的东西吗。	0
79		6	罗赞			……不。	0
80		0				她走到床边，轻巧地一抬腿，跨坐在了我身上，居高临下地凝视着我。	0
81		6	罗赞			你不是没用，你只是不开窍，分析员。	0
82		6	罗赞			你的上司，你们世界树，这个天底下所有一边畏惧着泰坦物质，一边又渴望从中汲取力量的人，都不开窍。	0
83		6	罗赞			而被那些蠢货庸才妄自驱使，为了一个又一个虚假的宣称不停奔波，在每一处绝境里拼尽全力，只为他人作嫁衣的你……	0
84		6	罗赞			对我而言，是最重要的，最有用的东西。	0
85		0				她慢慢地俯下身，以手指轻柔地划过我的脸——咫尺之距，她的双目无比澄澈，那叹息式的语调里似乎只有坦然可言。	0
86		6	罗赞			我说过了，我们是同胞，是同类。	0
87		0	分析员			……那这又是什么？	0
88		0				我尽可能摆出手无缚鸡之力的弱势模样，带着一脸任她宰割的苦闷表情，看着她手里的那团东西，打探着这一次我最想弄明白的事情。	0
89		6	罗赞			别露出那种弱不禁风的表情，分析员。凭你现在的演技可演不好那副扮猪吃老虎的模样来……	0
90		6	罗赞			而且，你现在应该已经恢复力气了，对吧？	0
91		0				……她是怎么知道的？！	0
92		6	罗赞			天底下可不是只有你一个人懂得怎么利用泰坦物质。	0
93		0				她话音未落，忽然手上用力，捏住了我的下颌——转瞬之间，浓度精纯的信息态泰坦物质就沿着她探入我口中的指尖汩汩流入我的身体。	0
94		0				酒店房间里原本由那个死亡崩解的怪物所散逸出的部分也像是受到了什么引导一样，冲着我席卷过来。	0
95		6	罗赞			头脑和身体都坦率一点，哈……这样就好多了。	0
96		0				她把耻骨抵在我的腰胯上，轻轻一发力。陡然袭来的刺激让我忍不住张大了嘴，而她则趁势就要将手里的那团东西塞进来。	0
97		6	罗赞			……	0
98		0				透过楼板，从下方隐约传来的杂乱枪声让我和她都停止了动作……她瞪着我，眼睛里一瞬间闪过一丝疑惑。	0
99		0	分析员			看来你做事也没那么滴水不漏，罗赞司令。	0
100		6	罗赞			哈……你觉得真的会有人来救你？	0
101		0	分析员			不。我觉得我可以自己走出去！	0
102		0				伴随着说出口的话语，我猛地挥拳直捣她的面门。在她不出我所料地向后弓腰，反手抓住我的拳头之后，我的另一只手伸向了那团真菌状的物什。	0
103		6	罗赞			啊哈——明抢可不行，分析员。	0
104		0				她只是手掌轻轻一翻，那东西就自行钻入了她的皮肉里消失不见。	0
105		6	罗赞			不过你想活动活动筋骨的话，我倒是很乐意陪你。	0
106		0				她话还没说完，反手的手刀就已经对着我的颈动脉直劈过来。不得已之下，我只能收紧下颌，后腰和大腿一起发力，想将她从我身上掀翻下去。	0
107		0				但她的灵活和技巧显然超出了我的预料——单手撑住我的胸口，抬腿侧翻，不仅从容地脱身，还顺势在我的侧腹上重重地踢了一脚。	0
108		0				我堪称狼狈地从身下的床榻里脱身，忍着钻心的痛楚勉强站直了身体，而她早已好整以暇地拦在了我通往房门的去路上，一边晃着脖子，一边轻松地舒展着筋骨。	0
109		6	罗赞			你知道从一开始，我为什么会选择去投身行伍吗？	0
110		0				我知道。就算此前我不知道，现在我也该知道了。	0
111		6	罗赞			磨练肉体，施展暴力，用相应的成果来满足心灵的欲求——人类作为一种动物，这是理所当然的本能。	0
112		6	罗赞			在整个世界都与这种本能背道而驰的今天，我重新拥抱了它，并且从它的内在里……找到了无上的快乐！	0
113		0				我发誓，在我明知道“自己现在即使立刻死掉也无所谓”的前提下，我仍然忍不住脊背发凉。	0
114		0				如同离弦之箭一般向我直冲过来的毫无疑问只是一个人类，但她身上所裹挟的却是比泰坦，甚至鬼神都要更可怕的东西。	0
115		0				那是坦诚真挚到让我非信不可的……纯粹杀意。	0
