xxx_2934502951	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0	分析员			没想到这么快就到这里了。	0
2		0				这一路上的推进都很顺利。	0
3		0				和伊切尔面对的蔬菜大军，与猫汐尔针锋相对的老鼠特工队不一样……辰星世界构造出的敌人画风都在合理的范畴。主要的麻烦是一些特殊的机关布置。	0
4		0				然而在辰星“随心所欲”创造的灵物辅助下，我们几乎畅通无阻地闯过了庭院，打开了进入宅邸的通道。	0
5		0	分析员			这玉环变成的鸟，还真是好用。	0
6		6	辰星琼弦		Play_Vo_dlc14ep2_girl014_01	要是在现实里我也有这样神奇的力量就好了。	0
7		0				辰星表现出一副兴致勃勃的模样，她伸出手，似乎想要接住那只在旁边飞舞的彩色小鸟。	0
8		0				可忽然她的神色一凛，绷紧了身体，拉弓满月，警惕望着正前方的廊桥。	0
9		6	辰星琼弦		Play_Vo_dlc14ep2_girl014_02	分析员，它们要来了。	0
10		0				在这本来空无一人的场景中，一些模糊的人影好似凭空出现。	0
11		0				我跟着将手指虚扣在扳机上，做好随时开火的准备。先前我和辰星闯过庭院时，遇到的敌人也都像是游戏里随手放置的怪物一样刷新出现。	0
12		0				可随后出现的一幕让我和辰星齐齐愣住。	0
13		6	辰星琼弦		Play_Vo_dlc14ep2_girl014_03	这是……	0
14		0	分析员			这些家伙，看上去都是普通人。	0
15		0				我凝神打量着眼前缓缓浮现的一道道身影，她们浮现的身体轮廓不像是全副武装的士兵，更不是被泰坦物质侵蚀、同化的怪物。	0
16		0				看上去就是普通的市民，诡异的是一个个肩膀上还挑着板凳，还有人在廊桥两边撒着鲜花。	0
17		0	分析员			她们这是要做什么？	0
18		0				这幅怪诞场景让我的思路有些转不过来。	0
19		0				我原以为她们是要将板凳当作武器开启一场械斗，可看她们又遍地撒花一副欢天喜地的模样，一时间搞不懂这群人到底是扮演着怎样的角色。	0
20		0				这时有人毫无征兆抬手，将数串东西丢到了我和辰星的身前。	0
21		0				我吃了一惊，拉着像是人偶般呆滞的辰星退后几步，然后在下一刻，一阵噼啪爆鸣声在我们面前炸响。	0
22		0				一连串的爆竹在地上炸开了，红色的碎片像是雪花一样在空中纷飞，也扬起了片片飞舞的花瓣。	0
23		0	分析员			这难道是……	0
24		9	辰星琼弦		Play_Vo_dlc14ep2_girl014_04	分析员……你猜到了吗？	0
25		0				我转头看向辰星，辰星好似从方才的恍惚中回过神来，她以郑重的表情看向我，神色中又像是带着一种忐忑的期待之色。	0
26		0	分析员			嗯。	0
27		0				我轻轻点头，以认真的思考，仔细的分析，回应她的注视。	0
28		0	分析员			如果我没猜错的话……这应该是朔州的驱邪仪式？	0
29		6	辰星琼弦		Play_Vo_dlc14ep2_girl014_05	分析员果然猜到……咦……完全不对！！！	0
30		0				辰星前半句话还带着羞赧，可话到一半却是忍不住拉高声音。	0
31		0	分析员			哪里不对了。	0
32		6	辰星琼弦		Play_Vo_dlc14ep2_girl014_06	……哪里都不对！这个，这个是……	0
33		0				我瞧见辰星手足无措的模样，瞧见她脸上挂满的羞红之意，莫名好笑。	0
34		0				当然了，在这诡异的场面下，我也没敢放松警惕，眼角余光始终瞅着那群怪异人影。	0
35		0				而接下来，那些人影口中吐出的言语，便让我明白……我到底猜错了什么。	0
36		6	姬家人		Play_Vo_dlc14ep2_npc044_01	姑爷！小姐！	0
37		0	分析员			姑爷？小姐？	0
38		0	分析员			这是……在叫我们？	0
39		9	辰星琼弦		Play_Vo_dlc14ep2_girl014_07	除了我们，分析员你瞧这地方还有旁人吗？	0
40		0				少女咬着红润的嘴唇，压着羞怯目光，又有些幽怨地望着我。	0
41		0				听闻此言，我猛地回过味来。	0
42		0	分析员			这一幕……是你所想的……	0
43		9	辰星琼弦		Play_Vo_dlc14ep2_girl014_08	分，分析员……请，请不要继续说下去……	0
44		0				辰星以求饶般的目光看着我。我看她羞得满脸通红的模样，不禁担心她下一刻就要背过气去。	0
45		0				而这时，那群人影更靠近了一些，前面几人还夹着嗓子开始唱起词来。	0
46		6	姬家人		Play_Vo_dlc14ep2_npc044_02	两位新人~	0
47		6	姬家人		Play_Vo_dlc14ep2_npc044_03	凤鸾成对，喜结连理；	0
48		6	姬家人		Play_Vo_dlc14ep2_npc044_04	珠璧含双，永系同心。	0
49		6	姬家人		Play_Vo_dlc14ep2_npc044_05	咱们小姐带着姑爷第一次回家，新进家门，当登云桥。	0
50		6	姬家人		Play_Vo_dlc14ep2_npc044_06	姑娘们，替姑爷和小姐架云桥！	0
51		0	姬家人		Play_Vo_dlc14ep2_npc044_07	架~云~桥！	0
52		0				众人影一边唱词，一边将提起的板凳就往我们面前架来。	0
53		0	分析员			登云桥啊，这称呼还挺有意思。这算是朔州的传统习俗？具体是怎么回事？	0
54		0				我看向辰星，看她白皙的脖颈也在被羞红浸染。瞧着少女那张初见时冷俏的小脸如今毫无保留将所有羞怯美丽展露在我的眼前。	0
55		6	辰星琼弦		Play_Vo_dlc14ep2_girl014_09	…分析员不可能现在还看不出来。	0
56		0	分析员			我能看出来大概，但更细致些的就不知道了，还得靠我家夫人解释。	0
57		6	辰星琼弦		Play_Vo_dlc14ep2_girl014_10	……夫，夫人……	0
58		0				在一阵羞怯过后，辰星深吸一口气，认真凝视我，一字一句开口。	0
