xxx_4200434268	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				墨菲斯，它在我所交手过的敌人中算得上特殊。	0
2		0				一方面，它不知吸收了多少泰坦的力量，利用这几乎无尽的泰坦物质能量，它才一次又一次地接下了我们三人的连番攻击。	0
3		0				但另一方面，它又是如此消极，明明可以发起更加猛烈的攻势，它却始终与我们保持着距离，不断寻找着逃走的机会。	0
4		0				这样被动的战斗方式让它最终露出了破绽，又一轮火力攻势过后，它便已经无力维持真神者的形态。	0
5		6	墨菲斯		Play_Vo_dlc15ep7_npc083_01	呃……啊……	0
6		0				它跪坐下来，我则借机逼近，用枪口顶住了它的头。	0
7		6	墨菲斯		Play_Vo_dlc15ep7_npc083_02	您……还是不愿意考虑一下我的提议吗？	0
8		0				墨菲斯紧紧捂着自己的胸口，试图阻止从中不断流出的能量。	0
9		0				我们四目相对，她的眼中透露着悲戚的神色，像是真的在乞求我的原谅。	0
10		6	墨菲斯		Play_Vo_dlc15ep7_npc083_03	真可惜，我本来以为……您会是一个很温柔的人。	0
11		6	恩雅澜风		Play_Vo_dlc15ep7_girl011_01	分析员——当然是天底下最温柔的人！	0
12		0				恩雅的子弹再次洞穿了墨菲斯本就受到重创的身体，更多的能量如流沙般从伤口处溢出。	0
13		0	分析员战斗			我的温柔只会留给她们，至于你，你和罗赞·赫瓦雷纳一样，不值得任何怜悯。	0
14		6	墨菲斯		Play_Vo_dlc15ep7_npc083_04	既然如此，我……	0
15		0				墨菲斯忽然猛地向后退去，拉开了与我们的距离。	0
16		0				始终飘荡在花海上空的捕梦网也终于产生了变化，我能感觉到大量的能量正汇聚在捕梦网中央，如同一滴巨大的水珠悬在我们头上，摇摇欲坠。	0
17		9	茉莉安幽潮		Play_Vo_dlc15ep7_girl005_01	分析员，她是想……和我们同归于尽？！	0
18		0				来不及回答茉莉安焦急的询问，我已经双腿发力，朝着墨菲斯直冲而去。而恩雅和茉莉安也只慢了半步，一左一右堵住了墨菲斯的退路。	0
19		0				二十米，十米，五米，两米，眼见墨菲斯的裙摆随风飘起，触及到我的指尖——	0
20		0				却还是晚了一步。	0
21		0				捕梦网中的能量在最后关头彻底倾泻下来，形成了一道光柱，直直注入墨菲斯的身体中，随即带着她的身体不断膨胀。	0
22		0	恩雅&茉莉安		Play_Vo_dlc15ep7_girl011_02	分析员！	0
23		0				不过眨眼间，完全失控的能量便爆发出来，让所有人的眼前都只剩下耀眼的白光。我只能借着前冲的力量，在空中抓住恩雅和茉莉安，继而挡在她们与光柱之间。	0
24		0				轰！	0
25		0				爆炸，与随之而来的冲击波将我们掀飞出去数米，但不知为何，爆炸的威力远比我想象的要小……	0
26		0				不对！	0
27		0				我在不断从内向外涌出的气流中艰难地睁开眼，只看到一个暗紫色的影子借着爆炸所产生的能量向我们的反方向退却而去。	0
28		0				最终，只留下蝉蜕般的人类拟态在光柱中盘旋，燃烧殆尽。	0
29		6	茉莉安幽潮		Play_Vo_dlc15ep7_girl005_03	她逃走了。	0
30		0				茉莉安的话中仍带着不甘，但我们都很清楚，面对这样一个不愿战斗，只是一心寻求脱身的敌人，让她逃走并不是一个不可接受的结局。	0
31		6	茉莉安幽潮		Play_Vo_dlc15ep7_girl005_04	不过，她为什么要后退到这里，才将捕梦网的能量释放出来……	0
32		0				说到一半，茉莉安忽然失去了意识，朝着我的怀中沉沉睡去。	0
33		6	恩雅澜风		Play_Vo_dlc15ep7_girl011_03	分析员，她这是……！	0
34		0	分析员战斗			没事，她的呼吸很平稳，应该只是用尽力气了。	0
35		0	分析员战斗			这一趟下来，真是足够把人累倒。	0
36		6	恩雅澜风		Play_Vo_dlc15ep7_girl011_04	不仅要在城市高楼间找到墨菲斯的痕迹，还要集中精神抵抗模因的影响，这种事情……的确只有小茉莉安能做到吧。	0
37		0	分析员战斗			恩雅也做到了只有恩雅能做的事情，不是吗？	0
38		6	恩雅澜风		Play_Vo_dlc15ep7_girl011_05	我……	0
39		0				她看向我，眼中充满了温柔。	0
40		6	恩雅澜风		Play_Vo_dlc15ep7_girl011_06	嗯，只要分析员在我身边，我什么都可以做到。	0
41		0				晚风恰到好处地吹起，让少女的发丝与一望无垠的花海一齐摆动。	0
42		0				这里像是从未经历过一场恶战，夕阳与晚霞点缀在天空中，为望着远方的恩雅增添上了淡淡的金色轻纱。	0
43		0	分析员战斗			啊……茉莉安刚才问的那个问题，我好像知道答案了。	0
44		6	恩雅澜风		Play_Vo_dlc15ep7_girl011_07	“为什么墨菲斯要后退到这里释放能量”，是吗？	0
45		0	分析员战斗			我记得，这附近的花原本还没有完全盛开。	0
46		0				我随手从身边的一朵小花上摘下一片花瓣，又松开手，任凭它随风飘去。	0
47		0	分析员战斗			吸收了那些能量之后……这些花开了。	0
48		6	恩雅澜风		Play_Vo_dlc15ep7_girl011_08	……	0
