xxx_101326724	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				经历些小挫折后，“心率实验”陷入了停滞状态。	0
2		0				芙提雅和研发团队忙着思考新的方向，倒是给了我和妮塔许多“自由活动”的时间。	0
3		0				我走在前往妮塔房间的路上，心里一直酝酿着开导她的话语。	0
4		0				倒不是担心她因为这点小事就失去信心，我反而更忧心，她会给自己太大压力。	0
5		0				毕竟这是她第一次参与研发工作，想要全力以赴做到极致也是人之常情。	0
6		0				但打开房门后，我想象中的，带着焦虑苦闷表情的妮塔并未出现。	0
7		0				她正把脑袋搁桌边，目光诡异地凝视着在面前的提拉米苏上，神色更带着几分……兴奋？	0
8		0				虽然这份甜点散发着浓郁的咖啡香气，金黄松软的手指饼干排列整齐，面上的可可粉也细腻诱人。	0
9		0				但它“餐厅常驻”的属性，让人提不起任何对它的兴趣……	0
10		0				当然，妮塔除外，只要是免费的美食，她都爱吃。	0
11		0	分析员			口水都快流下来了……	0
12		0				我凑到妮塔旁边，彼此的脸几乎要贴到一起。	0
13		6	妮塔病号服			哇啊啊啊，分析员。	0
14		0				妮塔吓得一扑腾，整个人连带着椅子就要往左侧翻下去。	0
b-1	b-1	0					0
15	b-1-1	0				拉住妮塔	0
16		0				情急之下，我下意识抓住她的手臂。她反应极快，顺势一个转身，整个人便跌入我的怀抱。	0
17		0				待她抬头时，我才注意到她鼻尖不知何时沾上了一点奶油。	0
18		0	分析员			别动，这里脏了。	0
19		0				意识到自己的失态，妮塔迅速将脸凑了过来，乖乖等着我的指腹靠近。	0
20		0				就这么一瞬，绯色在她的脸颊上快速扩散着。	0
b-2	b-2	0					0
21	b-2-1	0				蹭掉奶油	0
22		0				在我拿起纸巾，清理掉手上那点污渍时，妮塔露出了不舍又欲言又止的表情。	0
23		0	分析员			你不会连这点都舍不得吧？	0
24		6	妮塔病号服			没有，没有舍不得……	0
25		0				她装作不经意地转开目光，却还是忍不住追随着那团沾了奶油的纸巾，看它画出一道完美的弧线，轻巧地落入垃圾桶。	0
26		0	分析员			难道说，你最近是在……瘦身？	0
27		6	妮塔病号服			没有啊，怎么可能，我身材匀称着呢！	0
28		0				妮塔火速撩起衣服，用傲人的马甲线证明自己所言非虚。	0
29		0	分析员			提拉米苏一口没动，米粒大的奶油都馋得不行，这要吃不吃的样子不像你啊……	0
30		6	妮塔病号服			不是要吃不吃，是绝对不吃，我正在克制自己的欲望！	0
31		0	分析员			难道在我不知道的时候，提拉米苏变成限量供应了？这事儿我去和后勤部说说吧。	0
32		0	分析员			队员们这么辛苦，总不能想吃块蛋糕都抠抠搜搜的。	0
33		6	妮塔病号服			别……别！分析员，我不是那个意思。	0
34		0				看到我想联系后勤部，妮塔连忙缠住了我的手臂，再把我的手和终端一起摁回了口袋。	0
35		0	分析员			那你的意思是？	0
36		6	妮塔病号服			这几天，我从心率实验失败的结果中悟出了一些道理。	0
37		6	妮塔病号服			我——是个贪心的女人！	0
38		0				妮塔将手放在心口，语气里带着几分郑重，颇有几分苦情的意味。	0
39		0				在空气都沉默了三秒钟后，一丝疑惑浮现上妮塔的脸。	0
40		6	妮塔病号服			分析员，你不反驳我一下吗？	0
41		0	分析员			反驳？我觉得妮塔对自我认知很清晰啊。昨天不就是直到早上，才肯放我……	0
42		0				还没说完，我的嘴就被妮塔捂得严严实实，足足封了两层。	0
43		6	妮塔病号服			不是那种贪心！	0
44		0				或许是怕我再列举这些令她脸红的“罪状”，她连忙把事情一股脑倒了出来。	0
45		6	妮塔病号服			之前心率实验的时候，分析员准备了那么多都没让我的心跳到达理论值……	0
46		6	妮塔病号服			都是因为我吃着锅里的，望着盆里的，总是奢求更好的！	0
47		6	妮塔病号服			如果我从现在开始控制饮食！那么不久后，我就会像一头饥肠辘辘的野兽，满足于一切食物，哪怕是西兰花也能让我兴奋。	0
48		6	妮塔病号服			你说对吧，分……分分分析员！你怎么把我的提拉米苏吃掉了？！	0
49		0				就在妮塔念念叨叨时，提拉米苏已经被我三口吞下。	0
50		0				这令人熟悉的味道果然让人激不起任何兴趣，但用来垫垫肚子还是绰绰有余。	0
51		0	分析员			近在眼前的食物就这么没了，克制多时的“野兽小姐”有什么想法吗？	0
52		0				我的话让妮塔陷入沉思，手指轻托着下巴思索着，却又因为理不清头绪，无奈地拍了拍脑袋。	0
53		0	分析员			是不是一点想法都没有？因为你也知道……	0
54		0	分析员			这样的甜点，每天都能在餐厅冷藏区里找到，口感和预期分毫不差，毫无惊喜可言。	0
55		0	分析员			就算是克制欲望很久的野兽，也只会把西兰花视为生存所需。	0
56		0	分析员			真正能让内心震颤的，永远是腥气十足，鲜美多汁的第一口肉。	0
57		0	分析员			所以，对妮塔来说，美味的肉代表着什么呢？	0
