xxx_2716183981	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				几天后，心率实验结束，极限心率最终定格在了215bpm这个数字。	0
2		0				这个数字象征了许多，我们对彼此的了解比往日更甚，浓烈的爱意也终于传递到了对方心中。	0
3		0				但眼前的许多许多也只是两心交融过程中一个小小篇章。	0
4		0				我与妮塔还有很长的路要走，即使以生命为刻度来丈量这段旅程，也毫不夸张。	0
5		0				得益于模组调试还需要一段时间，我和妮塔难得悠闲起来。	0
6		0				在她的计划中，此时的我们本该一起享受夜晚的微风、璀璨的星夜。	0
7		0	分析员			妮塔？	0
8		0				出声呼唤后，我没得到任何的回应。因为身边人早就沉沉睡去，只传来平稳的呼吸声。	0
9		0	分析员			真是的，明明拉我来看星星，居然自己睡着了。	0
10		0				看着她脸上带着笑，我忍不住轻轻蹭了下她的鼻尖，没想到这么轻微的动作还是惊扰了她。	0
11		0				她的睫毛颤动了几下，如同蝴蝶翅膀般轻柔地扇动，随即缓缓睁开了双眼。	0
12		6	妮塔病号服			唔……唔？我这是睡着了？	0
13		0				揉了揉惺忪的睡眼，她迷茫地看向四周。过了好一会，清醒的神色才重新浮上她的眸子。	0
14		6	妮塔病号服			哇！星星都出来这么多了，我这是睡了多久？	0
15		0	分析员			也没睡多久，好歹在太阳出来前醒了。	0
16		6	妮塔病号服			我哪有那么能睡！分析员尽乱说。	0
17		0				带着几分埋怨，妮塔戳了戳我的手臂。我顺势捂住，装出一副疼得龇牙咧嘴的模样。	0
18		0	分析员			啊……好疼，快帮我叫医疗部。	0
19		6	妮塔病号服			我就轻轻碰了一下，根本没用力啊。	0
20		0	分析员			你可是天启者，力道本来就和普通人不一样，嘶……痛死了。	0
21		6	妮塔病号服			对、对不起，分析员，不然我给你揉揉好了。	0
22		0				就在妮塔慌乱间从躺椅上站起，坐到我的身边开始揉捏“伤处”。	0
23		0				趁此机会，我用手环住她的紧致的腰部，一把就将她捞进了怀里。	0
