xxx_2569646287	A	A	A	A	A	A	A
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable
1		0				人流纷纷扰扰，自我的身边穿过，可对我而言仿若无物。我只是凝望着那个少女。	0
2		9	莉琪		Play_Vo_dlc28ep2_liqi_01	不会的……不会的……	0
3		0				我看见莉琪，她的身体瑟缩着，颤抖着，仿佛被抽去所有的力气。	0
4		0				将她包围的情绪是悲伤吧，潮水一样弥漫，让人喘不过气的悲伤。	0
5		0				她到底…经历了什么？	0
6		0				看着那样的少女，我的胸口也像是有什么堵着，难以呼吸。	0
7		0				不……不对……这种感觉，我的胸口好像真被压上了什么。	0
8		0				脑海浮现这个想法的瞬间，我便清醒过来，睁开了眼睛。	0
9		0	分析员无帽			呼……哈……	0
10		0				而在看清楚身上的柔软重量来源于何后，我紧绷的身体渐渐放松下来。	0
11		0				我无奈又好笑地望着趴在我怀里的少女。	0
12		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_01	诶嘿嘿，分析员，我的分析员……	0
13		0	分析员无帽			薇蒂雅。	0
14		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_02	咦……？	0
15		0				在我轻声地呼唤下，薇蒂雅缓缓睁开眼睛，一副睡眼惺忪的模样。她胡乱在枕边摸了摸自己的眼镜，然后略带茫然地戴在了脸上。	0
16		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_03	我在做梦吗？	0
17		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_04	呼呼……好真实的梦。	0
18		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_05	不愧是我呢……最近的梦越来越逼真了。	0
19		0				一双纤手毫不客气地捧住了我的脸，然后略微用力挤了挤。	0
20		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_06	也只有在梦中……我才敢……这样欺负分析员……嘿嘿。	0
21		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_07	分析员的脸摸起来真舒服。	0
22		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_08	然后是硬邦邦……结实的胸肌。	0
23		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_09	哈……摸到腹肌了。让我仔细数一数……	0
24		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_10	一二三四五六七八……	0
25		0				在我身上作怪的小手越发大胆起来。	0
26		0				因为担心事情再发展下去时间来不及，所以我捉住了她的手腕，再次轻轻喊了一声她的名字。	0
27		0	分析员无帽			薇蒂雅。	0
28		0				像是被踩着尾巴的猫，少女的身子一下子绷得笔直，只差从我身上高高跳起来。	0
29		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_11	诶诶诶诶诶诶诶诶！！？？？	0
30		0	分析员无帽			这下你应该是真醒来了？	0
31		0				我松开少女的手腕，双手枕在脑后，略带揶揄地看着她已经完全被红晕浸染的脸颊。	0
32		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_12	我……	0
33		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_13	分析员……！我刚才……那是……	0
34		0	分析员无帽			想摸可以直说。	0
35		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_14	真的……？	0
36		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_15	咳咳……我的意思是……	0
37		0				一下子把真心话说出来，少女被自己呛到满脸通红，捧着羞红的脸颊有些不知所措起来。	0
38		0				看到她这副可爱模样我很是心满意足，所以我重新递上台阶。	0
39		0	分析员无帽			话说回来，你什么时候来的？	0
40		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_16	昨晚，就在分析员睡着后。	0
41		0				薇蒂雅下意识做出答复，然后又反应过来，慌张找补。	0
42		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_17	……我不是想要夜袭分析员，我主要是不想打扰分析员休息。	0
43		0				薇蒂雅说完满脸通红捧着脸颊，一副不打自招，此地无银三百两的模样。我看得出来，她是在努力欺骗她自己……	0
44		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_18	毕竟下午才发生了那种事情，警戒很有必要！	0
45		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_19	所以我顺便试了下分析员房间的安保措施……然后……然后……	0
46		0				在我的注视下，她越说视线越是游移，最后忍不住吞了口口水，心虚地将“然后”后面的话一起吞了下去，转移话题。	0
47		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_20	总之，可以确定昨晚是风平浪静，没有危机。不过……这不代表今天和明天都会平静。	0
48		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_21	我，我会继续为分析员警戒！请分析员相信我！	0
49		0	分析员无帽			我当然相信你，那就辛苦你了。	0
50		0				我轻轻笑了笑，当作认可她的理由。只是薇蒂雅的话也让我想到了昨天下午发生的事情，在我们要去追上莉琪前，一群机器人像是失控般拦住我们。	0
51		0				虽然调查的结果是那些机器人恰巧发生了一些程序错误，但我不认为这是单纯的意外，或者巧合。	0
52		0				想到这里，我脑海再次浮现刚才的梦……	0
53		0				那些机器人的阻拦，会和莉琪遇到的事情有关吗？	0
54		0				我正思索着，砰砰的敲门声从门外传来。	0
55		9	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_01	分析员，分析员！！	0
56		9	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_22	芙，芙提雅老师！？	0
57		0				薇蒂雅回过神来，在我有些惊愕的注视下，简直像是带着残影一样迅速地起身。	0
58		0				在芙提雅拽着伊切尔闯进来之前，薇蒂雅已经推着眼镜，带着无比知性的气质，做出了一副若无其事的模样站在了我的床边。	0
59		4	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_02	咦，你怎么……	0
60		5	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_23	我是来叫分析员起床的。	0
61		4	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_03	这样啊。	0
62		0				因为薇蒂雅的模样很正常，芙提雅完全没有任何怀疑……不过在和我独处的时候，这姑娘完全不一样啊。	0
63		6	伊切尔		Play_Vo_dlc28ep2_girl016_01	分析员~我好困。	0
64		0				这时，被芙提雅拽过来的伊切尔睡眼惺忪，摇摇晃晃向我走来，然后在床边毫无意外被绊倒，直接倒进了我的怀里。	0
65		6	伊切尔		Play_Vo_dlc28ep2_girl016_02	呼呼~	0
66		6	伊切尔		Play_Vo_dlc28ep2_girl016_03	分析员的身上，有香香的味道。	0
67		6	伊切尔		Play_Vo_dlc28ep2_girl016_04	咦~？嗅！嗅！	0
68		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_24	……！	0
69		0				眼见伊切尔逐渐清醒起来，在床边的薇蒂雅登时无法保持方才的平静。	0
70		0				不过这时芙提雅有些慌张地打断了我们的思绪。	0
71		6	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_04	分析员，芙提雅老师知道了！	0
72		6	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_05	昨天莉琪小姐留下来的那株植物是什么。	0
73		6	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_06	我让猫汐尔去查了学院的资料库，那个东西是芙提雅老师毕业后一段时间学院新弄出来的特殊造物，叫作生命草！	0
74		0	分析员无帽			生命草？	0
75		6	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_07	没错，生命草！	0
76		0				芙提雅的语气认真，脸上带着淡淡的同情和哀伤。	0
77		6	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_08	那株草是可以和人的生命绑定的，研究出来后在一些特殊情况下用作生命情况监测的工具。	0
78		6	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_09	而那株草死亡的话，就代表着……	0
79		0	分析员无帽			……	0
80		0				无须芙提雅说完，我已经明白了莉琪昨天变化的原因。	0
81		0				与此同时，一条新的信息发到我通讯终端。	0
82		0				分析员，你最最可靠的猫汐尔给你发送了一条信息喵。	0
83		0				我看着猫汐尔发来可爱的猫猫头表情，本来想要回复，可随后我的目光完全被下一条消息攫取。	0
84		0				早上时间7点，在前端小镇高能研究所发生恶性杀人事件，被害人为量子科技研究室负责人提娅。据悉嫌疑人……为量子科技研究室的预备研究员……	0
85		0				莉琪。	0
86		0	分析员无帽			莉琪！！？？？	0
87		0	分析员无帽			等等！！！！！！！	0
88		0	分析员无帽			这个照片是！？？	0
89		6	卡罗琳		Play_Vo_dlc28ep2_kaluolin_01	这就是陶董最后告诉我的话，至于这个东西……她没说具体是什么，只让我转交给你，说你可能会用得上。	0
90		6	卡罗琳		Play_Vo_dlc28ep2_kaluolin_02	如果用不上，就等她醒来后再还给她。	0
91		6	卡罗琳		Play_Vo_dlc28ep2_kaluolin_03	然后，她还说了，分析员去到学院后，可以先去找找这个人。在对付埃达这件事上，她或许可以给你提供一些线索或者帮助。	0
92		0	分析员无帽			陶让我找的人就是……	0
93		0				从收到消息到现在，时间差不多过去了一个小时。	0
94		0				拿到情报后，我没有急着赶来现场，而是做了一些相关的准备，并且找到学院方要求介入调查。	0
95		0				在看到照片的那一刻，我就明白，不单是为了莉琪，也为了我们来到学院的目标，我必须找到……被害人被杀的真相！	0
96		0	分析员无帽			现在……算是勉强赶上了啊。	0
97		0				异议的宣言结束后，真理大厅里的公证人员因为我们的突然闯入，正陷入强烈的动摇之中。	0
98		0				两边的陪审席也不断有喧哗声响起。	0
99		0	公证人员		Play_Vo_dlc28ep2_gongzheng_01	你，你们到底是干嘛的……	0
100		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_25	我没兴趣重复第二遍。	0
101		0	公证人员		Play_Vo_dlc28ep2_gongzheng_02	可是……你们要参与辩护和调查什么的……这种消息，我可从来没听过。	0
102		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_26	那现在你该听说了。相关的交接手续很快会由你们高层公示，资料也会送到你们手中。	0
103		0	公证人员		Play_Vo_dlc28ep2_gongzheng_03	这……这……	0
104		5	芙提雅驰掣		Play_Vo_dlc28ep2_girl004_10	真是太过分了！没有经过调查，就仓促定下莉琪是犯人的结论，我可不知道……崇尚公正，追逐真理的卫城学院居然会变成这样。	0
105		4	伊切尔		Play_Vo_dlc28ep2_girl016_05	异议！异议！	0
106		0	公证人员		Play_Vo_dlc28ep2_gongzheng_04	等，等下！这可不是没有调查，这本来是完全可以盖棺定论的案件，我们正是出于公正，才在这里进行公示。	0
107		0	公证人员		Play_Vo_dlc28ep2_gongzheng_05	案件现场被发现的时候，现场就只有被告和被害人，杀害被害人的凶器上只有嫌疑人的指纹，更重要的是……案件现场完全没有其他人进出的可能。	0
108		0	分析员无帽			所以呢？	0
109		0	公证人员		Play_Vo_dlc28ep2_gongzheng_06	什么……所以……？	0
110		0	分析员无帽			仅凭一个像是密室杀人的现场，你们就确定莉琪是凶手了？	0
111		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_27	但凡看过几本推理小说，也能知道这件事不会这么简单。	0
112		0	公证人员		Play_Vo_dlc28ep2_gongzheng_07	可这是现实，怎么可以用推理小说来推断。而且，我们也不是认定她是凶手，只是将她当作最有嫌疑的人看押。	0
113		0	分析员无帽			那现在我可以告诉你，没有确定她是嫌疑人的必要。	0
114		0	公证人员		Play_Vo_dlc28ep2_gongzheng_08	为，为什么…	0
115		0	分析员无帽			因为我们有证据证明。	0
116		0	公证人员		Play_Vo_dlc28ep2_gongzheng_09	什么？证，证据……？？	0
117		0	分析员无帽			是的。我们会用卫城学院的方式，拿出让你们所有人哑口无言的证据，证明她不是凶手。	0
118		0				我说着顿了顿，转头看向被告席，给了莉琪一个让她放心的眼神。	0
119		0	分析员无帽			莉琪。	0
120		0	分析员无帽			赌上卫城学院的名誉，我很快就会证明——	0
121		0	分析员无帽			你无罪！	0
122		0	喧哗声			……	0
123		0				在短暂的喧哗沉寂后，审判席上的公证人员呆了呆。	0
124		0	公证人员		Play_Vo_dlc28ep2_gongzheng_10	虽然您的发言很有气势，但……为什么是赌上卫城学院的名誉。	0
125		6	薇蒂雅天鹅座		Play_Vo_dlc28ep2_girl018_28	呵呵呵……让罪人逍遥法外，无辜者蒙冤——这不该是卫城学院的过错吗？纠正你们的错误，难道还需要让我们来赌上名誉？	0
126		0				薇蒂雅此刻带着一种凛冽的美丽，以及一种令人折服的压迫力，与她对视的人都不由自主低下头去。	0
127		0				不久后，审核了所有资料，确定没有问题的公证人员擦着额头的汗水，将我们请上了辩护的位置。	0
128		0	公证人员		Play_Vo_dlc28ep2_gongzheng_11	那个……经过本人的确认，这几位确实是学院特派来负责这起案件审查的专员。	0
