xxx_2195519918	A	A	A	A	A	A	A	A	A	A	A	A
Key	RealKey	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	BoneName	Animation	LoopStandAnimation	Speed
girl017RM1.55.01	girl017RM1.55		6	苔丝			呜……谢谢分析员！	0	shoubi_R	sp_girl017_stand_weiqu		
girl017RM1.57.01	girl017RM1.57		6	苔丝			等等等等，这里还是自己来吧！		shegnti2	sp_girl017_weiqu		
girl017RM1.57.02	girl017RM1.57		0	分析员			你手臂不也烫伤了吗，别乱动了。					
girl017RM1.57.03	girl017RM1.57		6	苔丝			那你不准一直盯着看哦！					
girl017RM1.61.01	girl017RM1.61		6	苔丝		Play_Mo_girl017_amazed01_058	啊！？		shegnti3	sp_girl017_stand_haixiu		
girl017RM1.61.02	girl017RM1.61		6	苔丝			不行不行！这里我自己来！					
girl017RM1.61.03	girl017RM1.61		0	分析员			抱歉，我没多想就……					
girl017RM1.61.04	girl017RM1.61		6	苔丝			没……没事，分析员也是一时着急嘛。哈哈……哈……					
girl015RM4.28_4.01	girl015RM4.28_4		2	凯茜娅			喂，你来真的吗？		bone10	sp_girl015_stand_fennu		
girl015RM4.28_4.02	girl015RM4.28_4			分析员			你说了请便吧。					
girl015RM4.28_4.03	girl015RM4.28_4		2	凯茜娅			啧，既然如此，再让我挠一下你的脸！			sp_girl015_stand_yansu		
girl015RM4.28_8.01	girl015RM4.28_8		2	凯茜娅			嗯……		bone100	sp_girl015_stand_yansu		
girl015RM4.28_8.02	girl015RM4.28_8		2	凯茜娅			呵呵呵，真是大胆……居然敢动那里。			sp_girl015_stand_weixiao		
girl015RM4.28_8.03	girl015RM4.28_8			分析员			哎，不是胳膊吗？					
girl015RM4.28_8.04	girl015RM4.28_8			分析员			不过一片漆黑，我确实也看不清。					
girl015RM4.28_8.05	girl015RM4.28_8		2	凯茜娅			哎？			sp_girl015_stand_yansu		
girl015RM4.28_8.06	girl015RM4.28_8		2	凯茜娅			原来不是故意的吗……			sp_girl015_stand_aishang		
girl015RM4.28_8.07	girl015RM4.28_8			分析员			所以我到底碰到哪里了，为什么你会有一股失望的感觉……					
girl015RM4.28_16.01	girl015RM4.28_16		2	凯茜娅			怎么？还不动手吗？		bone160	sp_girl015_stand_weixiao		
girl015RM4.28_16.02	girl015RM4.28_16			分析员			我只是开个玩笑罢了。					
girl015RM4.28_16.03	girl015RM4.28_16		2	凯茜娅			呵呵呵，你还真是怜香惜玉呢~					
girl015RM4.28_16.04	girl015RM4.28_16		2	凯茜娅			不过这可是难得能好好欺负我的机会。					
girl015RM4.28_16.05	girl015RM4.28_16		2	凯茜娅			你可要……					
girl015RM4.28_16.06	girl015RM4.28_16		2	凯茜娅			好~好~珍~惜~哦~					
girl016RM1.73.01	girl016RM1.73		0	分析员			头稍微抬起来一点。		qugan3			
girl016RM1.73.02	girl016RM1.73		6	伊切尔病号服			呜嗯……哈哈哈……			sp_girl016_stand_kaixn		
girl016RM1.73.03	girl016RM1.73		0	分析员			怎么了？					
girl016RM1.73.04	girl016RM1.73		6	伊切尔病号服			哈哈哈好痒……			sp_girl016_stand_weixiao		
girl016RM1.77.01	girl016RM1.77		0	分析员			这里疼吗？		qugan6			
girl016RM1.77.02	girl016RM1.77		6	伊切尔病号服			不痛，分析员很温柔。			sp_girl016_stand_weixiao		
girl016RM1.77.03	girl016RM1.77		0	分析员			噗……这里不痛说明没有问题，很健康，和我的力度没关系。					
girl016RM1.77.04	girl016RM1.77		6	伊切尔病号服			和力度没关系？好复杂……不懂。			sp_girl016_yiwen		
girl016RM1.81.01	girl016RM1.81		0	分析员			这里呢？感觉怎么样？		qugan11			
girl016RM1.81.02	girl016RM1.81		6	伊切尔病号服			饿了！			sp_girl016_stand		
girl016RM1.81.03	girl016RM1.81		0	分析员			我敲的是肾……我想问你疼不疼来着。					
girl016RM1.81.04	girl016RM1.81		6	伊切尔病号服			不疼！但是肾饿了！			sp_girl016_stand_kaixn		
girl016RM1.81.05	girl016RM1.81		0	分析员			肾是不会饿的。					
girl003RM1.48.01	girl003RM1.48		0	分析员			……喂，你该不会是之前喝了什么吧？		gaoguang_R			
girl003RM1.48.02	girl003RM1.48		0				妮塔没有回答我，而是直接抓起我的手放到她的脸上。					
girl003RM1.48.03	girl003RM1.48		6	妮塔病号服			看这里！			sp_girl003_stand		
girl003RM1.48.04	girl003RM1.48		0	分析员			是……皮肤吗？					
girl003RM1.48.05	girl003RM1.48		0	分析员			妮塔肤色健康……也很细腻紧致。					
girl003RM1.48.06	girl003RM1.48		0				如同丝绸般的质感吸附住我的手指。					
